Sr No,Symbol,Company Name,"Market capitalization as on March 31, 2022
(Rs in Lakhs)",,,,,,
1323,STARPAPER,Star Paper Mills Limited,24802,,,,,,
1324,UCALFUEL,Ucal Fuel Systems Limited,24800,,,,,,
1325,APOLLO,Apollo Micro Systems Limited,24626,,,,,,
1326,GUJAPOLLO,Gujarat Apollo Industries Limited,24467,,,,,,
1327,HARRMALAYA,Harrisons  Malayalam Limited,24389,,,,,,
1328,ARTNIRMAN,Art Nirman Limited,24207,,,,,,
1329,BRNL,Bharat Road Network Limited,24094,,,,,,
1330,CHEMBOND,Chembond Chemicals Ltd,24086,,,,,,
1331,MCLEODRUSS,Mcleod Russel India Limited,23816,,,,,,
1332,DSSL,Dynacons Systems & Solutions Limited,23723,,,,,,
1333,SINTERCOM,Sintercom India Limited,23470,,,,,,
1334,NDRAUTO,Ndr Auto Components Limited,23443,,,,,,
1335,SIGMA,Sigma Solve Limited,23433,,,,,,
1336,PIONDIST,Pioneer Distilleries Limited,23235,,,,,,
1337,RNAVAL,Reliance Naval and Engineering Limited,23234,,,,,,
1338,SAKAR,Sakar Healthcare Limited,23135,,,,,,
1339,GULFPETRO,GP Petroleums Limited,23121,,,,,,
1340,INDOTECH,Indo Tech Transformers Limited,23014,,,,,,
1341,INSPIRISYS,Inspirisys Solutions Limited,22918,,,,,,
1342,PANSARI,Pansari Developers Limited,22855,,,,,,
1343,EMAMIREAL,Emami Realty Limited,22820,,,,,,
1344,ANMOL,Anmol India Limited,22817,,,,,,
1345,MOLDTECH,Mold-Tek Technologies Limited,22792,,,,,,
1346,MACPOWER,Macpower CNC Machines Limited,22739,,,,,,
1347,ONEPOINT,One Point One Solutions Limited,22661,,,,,,
1348,AIRAN,Airan Limited,22629,,,,,,
1349,GIRRESORTS,GIR Natureview Resorts Limited,22472,,,,,,
1350,BEDMUTHA,Bedmutha Industries Limited,22278,,,,,,
1351,NILAINFRA,Nila Infrastructures Limited,22255,,,,,,
1352,TEXMOPIPES,Texmo Pipes and Products Limited,22217,,,,,,
1353,SORILINFRA,SORIL Infra Resources Limited,22129,,,,,,
1354,KANANIIND,Kanani Industries Limited,22112,,,,,,
1355,GPTINFRA,GPT Infraprojects Limited,21829,,,,,,
1356,TTL,T T Limited,21735,,,,,,
1357,VIPULLTD,Vipul Limited,21657,,,,,,
1358,MODISNME,Modison Metals Limited,21514,,,,,,
1359,WFL,Wonder Fibromats Limited,21301,,,,,,
1360,APOLSINHOT,Apollo Sindoori Hotels Limited,21273,,,,,,
1361,DENORA,De Nora India Limited,21248,,,,,,
1362,STEL,Stel Holdings Limited,21205,,,,,,
1363,SMSLIFE,SMS Lifesciences India Limited,21140,,,,,,
1364,SPMLINFRA,SPML Infra Limited,21111,,,,,,
1365,IVC,IL&FS Investment Managers Limited,21040,,,,,,
1366,ANSALAPI,Ansal Properties & Infrastructure Limited,21014,,,,,,
1367,RPPL,Rajshree Polypack Limited,20996,,,,,,
1368,PILITA,PIL ITALICA LIFESTYLE LIMITED,20680,,,,,,
1369,BEWLTD,BEW Engineering Limited,20632,,,,,,
1370,SHIGAN,Shigan Quantum Technologies Limited,20606,,,,,,
1371,FSC,Future Supply Chain Solutions Limited,20581,,,,,,
1372,MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,20501,,,,,,
1373,REVATHI,Revathi Equipment Limited,20499,,,,,,
1374,AUTOIND,Autoline Industries Limited,20462,,,,,,
1375,RAJTV,Raj Television Network Limited,20324,,,,,,
1376,OSIAHYPER,Osia Hyper Retail Limited,20271,,,,,,
1377,BRFL,Bombay Rayon Fashions Limited,20160,,,,,,
1378,LOVABLE,Lovable Lingerie Limited,20150,,,,,,
1379,CAREERP,Career Point Limited,20103,,,,,,
1380,TEMBO,Tembo Global Industries Limited,19966,,,,,,
1381,ASTRON,Astron Paper & Board Mill Limited,19879,,,,,,
1382,SHAHALLOYS,Shah Alloys Limited,19847,,,,,,
1383,INDTERRAIN,Indian Terrain Fashions Limited,19827,,,,,,
1384,COMPINFO,Compuage Infocom Limited,19818,,,,,,
1385,ELGIRUBCO,Elgi Rubber Company Limited,19795,,,,,,
1386,PONNIERODE,Ponni Sugars (Erode) Limited,19789,,,,,,
1387,ALPHAGEO,Alphageo (India) Limited,19702,,,,,,
1388,PAR,Par Drugs And Chemicals Limited,19657,,,,,,
1389,MAZDA,Mazda Limited,19629,,,,,,
1390,GSS,GSS Infotech Limited,19562,,,,,,
1391,IRIS,Iris Business Services Limited,19362,,,,,,
1392,VIPCLOTHNG,VIP Clothing Limited,19328,,,,,,
1393,RUCHINFRA,Ruchi Infrastructure Limited,19293,,,,,,
1394,WALCHANNAG,Walchandnagar Industries Limited,19149,,,,,,
1395,PASHUPATI,Pashupati Cotspin Limited,19013,,,,,,
1396,CAPTRUST,Capital Trust Limited,18971,,,,,,
1397,ALANKIT,Alankit Limited,18942,,,,,,
1398,SPLIL,SPL Industries Limited,18908,,,,,,
1399,PARACABLES,Paramount Communications Limited,18836,,,,,,
1400,INTENTECH,Intense Technologies Limited,18707,,,,,,
1401,RHFL,Reliance Home Finance Limited,18655,,,,,,
1402,GRPLTD,GRP Limited,18597,,,,,,
1403,SETCO,Setco Automotive Limited,18527,,,,,,
1404,TPLPLASTEH,TPL Plastech Limited,18323,,,,,,
1405,IITL,Industrial Investment Trust Limited,18237,,,,,,
1406,MAANALU,Maan Aluminium Limited,18227,,,,,,
1407,KERNEX,Kernex Microsystems (India) Limited,18168,,,,,,
1408,EIMCOELECO,Eimco Elecon (India) Limited,18035,,,,,,
1409,BROOKS,Brooks Laboratories Limited,18008,,,,,,
1410,SUPERHOUSE,Superhouse Limited,17965,,,,,,
1411,VISASTEEL,Visa Steel Limited,17774,,,,,,
1412,ARIES,Aries Agro Limited,17738,,,,,,
1413,SUNDARAM,Sundaram Multi Pap Limited,17533,,,,,,
1414,AJRINFRA,AJR INFRA AND TOLLING LIMITED,17424,,,,,,
1415,COMPUSOFT,Compucom Software Limited,17408,,,,,,
1416,KECL,Kirloskar Electric Company Limited,17400,,,,,,
1417,VETO,Veto Switchgears And Cables Limited,17395,,,,,,
1418,E2E,E2E Networks Limited,17370,,,,,,
1419,GTL,GTL Limited,17303,,,,,,
1420,MODIRUBBER,Modi Rubber Limited,17290,,,,,,
1421,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,17250,,,,,,
1422,JOCIL,Jocil Limited,17158,,,,,,
1423,AARVI,Aarvi Encon Limited,17135,,,,,,
1424,MANAKCOAT,Manaksia Coated Metals & Industries Limited,17039,,,,,,
1425,INDIANCARD,Indian Card Clothing Company Limited,17015,,,,,,
1426,LASA,Lasa Supergenerics Limited,17001,,,,,,
1427,A2ZINFRA,A2Z Infra Engineering Limited,16996,,,,,,
1428,UNITEDTEA,The United Nilgiri Tea Estates Company Limited,16891,,,,,,
1429,PAVNAIND,Pavna Industries Limited,16782,,,,,,
1430,SERVOTECH,Servotech Power Systems Limited,16745,,,,,,
1431,DEEPENR,DEEP ENERGY RESOURCES LIMITED,16736,,,,,,
1432,HINDNATGLS,Hindusthan National Glass & Industries Limited,16657,,,,,,
1433,IL&FSTRANS,IL&FS Transportation Networks Limited,16612,,,,,,
1434,SHREYANIND,Shreyans Industries Limited,16486,,,,,,
1435,KAMATHOTEL,Kamat Hotels (I) Limited,16473,,,,,,
1436,NITCO,Nitco Limited,16456,,,,,,
1437,GOLDENTOBC,Golden Tobacco Limited,16403,,,,,,
1438,NECCLTD,North Eastern Carrying Corporation Limited,16314,,,,,,
1439,AKSHOPTFBR,Aksh Optifibre Limited,16270,,,,,,
1440,SUVIDHAA,Suvidhaa Infoserve Limited,16263,,,,,,
1441,MANGALAM,Mangalam Drugs And Organics Limited,16208,,,,,,
1442,WORTH,Worth Peripherals Limited,16200,,,,,,
1443,SKMEGGPROD,SKM Egg Products Export (India) Limited,16114,,,,,,
1444,RANEENGINE,Rane Engine Valve Limited,16089,,,,,,
1445,BALPHARMA,Bal Pharma Limited,15993,,,,,,
1446,SAKHTISUG,Sakthi Sugars Limited,15985,,,,,,
1447,PREMIERPOL,Premier Polyfilm Limited,15984,,,,,,
1448,ATLANTA,Atlanta  Limited,15893,,,,,,
1449,JAINAM,Jainam Ferro Alloys (I) Limited,15858,,,,,,
1450,NILASPACES,Nila Spaces Limited,15756,,,,,,
1451,MANAKALUCO,Manaksia Aluminium Company Limited,15695,,,,,,
1452,IVP,IVP Limited,15670,,,,,,
1453,ASIANHOTNR,Asian Hotels (North) Limited,15660,,,,,,
1454,ESSARSHPNG,Essar Shipping Limited,15523,,,,,,
1455,DCM,DCM  Limited,15484,,,,,,
1456,INDOWIND,Indowind Energy Limited,15480,,,,,,
1457,LAGNAM,Lagnam Spintex Limited,15443,,,,,,
1458,3RDROCK,3rd Rock Multimedia Limited,15316,,,,,,
1459,EMMBI,Emmbi Industries Limited,15276,,,,,,
1460,ICEMAKE,Ice Make Refrigeration Limited,15246,,,,,,
1461,RPPINFRA,R.P.P. Infra Projects Limited,15172,,,,,,
1462,CORALFINAC,Coral India Finance & Housing Limited,15154,,,,,,
1463,SHRENIK,Shrenik Limited,14994,,,,,,
1464,JMA,Jullundur Motor Agency (Delhi) Limited,14881,,,,,,
1465,BALLARPUR,Ballarpur Industries Limited,14875,,,,,,
1466,BYKE,The Byke Hospitality Ltd,14796,,,,,,
1467,TRF,TRF Limited,14790,,,,,,
1468,ARROWGREEN,Arrow Greentech Limited,14743,,,,,,
1469,BHARATGEAR,Bharat Gears Limited,14710,,,,,,
1470,ALPA,Alpa Laboratories Limited,14665,,,,,,
1471,PALREDTEC,Palred Technologies Limited,14648,,,,,,
1472,IL&FSENGG,IL&FS Engineering and Construction Company Limited,14554,,,,,,
1473,DEVIT,Dev Information Technology Limited,14547,,,,,,
1474,ELECTHERM,Electrotherm (India) Limited,14310,,,,,,
1475,GILLANDERS,Gillanders Arbuthnot & Company Limited,14214,,,,,,
1476,BHAGYANGR,Bhagyanagar India Limited,14174,,,,,,
1477,SPECTRUM,Spectrum Electrical Industries Limited,14137,,,,,,
1478,DAMODARIND,Damodar Industries Limited,14027,,,,,,
1479,SURANAT&P,Surana Telecom and Power Limited,13915,,,,,,
1480,MURUDCERA,Murudeshwar Ceramics Limited,13874,,,,,,
1481,NOIDATOLL,Noida Toll Bridge Company Limited,13778,,,,,,
1482,LOKESHMACH,Lokesh Machines Limited,13754,,,,,,
1483,PODDARHOUS,Poddar Housing and Development Limited,13701,,,,,,
1484,GENCON,Generic Engineering Construction and Projects Limited,13611,,,,,,
1485,SHIVAUM,Shiv Aum Steels Limited,13600,,,,,,
1486,ASPINWALL,Aspinwall and Company Limited,13428,,,,,,
1487,UMANGDAIRY,Umang Dairies Limited,13422,,,,,,
1488,SUNDRMBRAK,Sundaram Brake Linings Limited,13421,,,,,,
1489,RVHL,Ravinder Heights Limited,13414,,,,,,
1490,GLOBE,Globe Textiles (India) Limited,13376,,,,,,
1491,GANGESSECU,Ganges Securities Limited,13315,,,,,,
1492,JHS,JHS Svendgaard Laboratories Limited,13234,,,,,,
1493,PRITIKAUTO,Pritika Auto Industries Limited,13212,,,,,,
1494,ZODIAC,Zodiac Energy Limited,13170,,,,,,
1495,SURYALAXMI,Suryalakshmi Cotton Mills Limited,13146,,,,,,
1496,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,13131,,,,,,
1497,INDOSOLAR,Indosolar Limited,13022,,,,,,
1498,AHLADA,Ahlada Engineers Limited,12999,,,,,,
1499,NDGL,Naga Dhunseri Group Limited,12900,,,,,,
1500,SMLT,Sarthak Metals Limited,12820,,,,,,
1501,MHLXMIRU,Mahalaxmi Rubtech Limited,12739,,,,,,
1502,MEGASTAR,Megastar Foods Limited,12720,,,,,,
1503,AMJLAND,Amj Land Holdings Limited,12669,,,,,,
1504,PIONEEREMB,Pioneer Embroideries Limited,12640,,,,,,
1505,ANKITMETAL,Ankit Metal & Power Limited,12629,,,,,,
1506,ARVEE,Arvee Laboratories (India) Limited,12530,,,,,,
1507,CTE,Cambridge Technology Enterprises Limited,12240,,,,,,
1508,MITCON,MITCON Consultancy,12180,,,,,,
1509,CCHHL,Country Club Hospitality & Holidays Limited,12178,,,,,,
1510,VIVIMEDLAB,Vivimed Labs Limited,12023,,,,,,
1511,PVP,PVP Ventures Limited,12008,,,,,,
1512,NIRAJ,Niraj Cement Structurals Limited,11966,,,,,,
1513,VCL,Vaxtex Cotfab Limited,11796,,,,,,
1514,UNITEDPOLY,United Polyfab Gujarat Limited,11722,,,,,,
1515,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,11695,,,,,,
1516,TCIDEVELOP,TCI Developers Limited,11673,,,,,,
1517,GROBTEA,The Grob Tea Company Limited,11645,,,,,,
1518,SBC,SBC Exports Limited,11640,,,,,,
1519,SALONA,Salona Cotspin Limited,11635,,,,,,
1520,IMAGICAA,Imagicaaworld Entertainment Limited,11629,,,,,,
1521,RKEC,RKEC Projects Limited,11599,,,,,,
1522,BLBLIMITED,BLB Limited,11577,,,,,,
1523,BSL,BSL Limited,11558,,,,,,
1524,PRAENG,Prajay Engineers Syndicate Limited,11435,,,,,,
1525,AARON,Aaron Industries Limited,11395,,,,,,
1526,SMARTLINK,Smartlink Holdings Limited,11347,,,,,,
1527,DRSDILIP,DRS Dilip Roadlines Limited,11297,,,,,,
1528,SIGIND,Signet Industries Limited,11274,,,,,,
1529,IZMO,IZMO Limited,11108,,,,,,
1530,FIBERWEB,Fiberweb (India) Limited,11056,,,,,,
1531,LOTUSEYE,Lotus Eye Hospital and Institute Limited,11022,,,,,,
1532,PALASHSECU,Palash Securities Limited,10998,,,,,,
1533,BAGFILMS,B.A.G Films and Media Limited,10975,,,,,,
1534,RAJSREESUG,Rajshree Sugars & Chemicals Limited,10786,,,,,,
1535,BHANDARI,Bhandari Hosiery Exports Limited,10770,,,,,,
1536,JBFIND,JBF Industries Limited,10602,,,,,,
1537,VERTOZ,Vertoz Advertising Limited,10564,,,,,,
1538,AKASH,Akash Infra-Projects Limited,10556,,,,,,
1539,SARVESHWAR,Sarveshwar Foods Limited,10539,,,,,,
1540,MUKTAARTS,Mukta Arts Limited,10536,,,,,,
1541,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,10522,,,,,,
1542,ABMINTLLTD,ABM International Limited,10485,,,,,,
1543,TIRUPATIFL,Tirupati Forge Limited,10437,,,,,,
1544,KAPSTON,Kapston Services Limited,10433,,,,,,
1545,SURANASOL,Surana Solar Limited,10432,,,,,,
1546,SOFTTECH,Softtech Engineers Limited,10358,,,,,,
1547,REMSONSIND,Remsons Industries Limited,10344,,,,,,
1548,BHAGYAPROP,Bhagyanagar Properties Limited,10334,,,,,,
1549,MAHASTEEL,Mahamaya Steel Industries Limited,10332,,,,,,
1550,MOTOGENFIN,The Motor & General Finance Limited,10282,,,,,,
1551,AIROLAM,Airo Lam limited,10276,,,,,,
1552,TIL,TIL Limited,10236,,,,,,
1553,SECL,Salasar Exteriors and Contour Limited,10212,,,,,,
1554,TOTAL,Total Transport Systems Limited,10186,,,,,,
1555,FOCE,Foce India Limited,10084,,,,,,
1556,ENERGYDEV,Energy Development Company Limited,10070,,,,,,
1557,AVG,AVG Logistics Limited,10009,,,,,,
1558,PARIN,Parin Furniture Limited,10006,,,,,,
1559,TOUCHWOOD,Touchwood Entertainment Limited,9906,,,,,,
1560,ROML,Raj Oil Mills Limited,9758,,,,,,
1561,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,9750,,,,,,
1562,WEIZMANIND,Weizmann Limited,9750,,,,,,
1563,PKTEA,The Peria Karamalai Tea & Produce Company Limited,9681,,,,,,
1564,PRESSMN,Pressman Advertising Limited,9651,,,,,,
1565,UNIVASTU,Univastu India Limited,9649,,,,,,
1566,WELINV,Welspun Investments and Commercials Limited,9609,,,,,,
1567,INDBANK,Indbank Merchant Banking Services Limited,9586,,,,,,
1568,LPDC,Landmark Property Development Company Limited,9524,,,,,,
1569,GOENKA,Goenka Diamond and Jewels Limited,9510,,,,,,
1570,MRO-TEK,MRO-TEK Realty Limited,9417,,,,,,
1571,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,9382,,,,,,
1572,SIMBHALS,Simbhaoli Sugars Limited,9247,,,,,,
1573,MICEL,MIC Electronics Limited,9223,,,,,,
1574,SOLEX,Solex Energy Limited,9136,,,,,,
1575,SGL,STL Global Limited,9109,,,,,,
1576,OMAXAUTO,Omax Autos Limited,9072,,,,,,
1577,LAMBODHARA,Lambodhara Textiles Limited,9034,,,,,,
1578,PRAKASHSTL,Prakash Steelage Limited,9013,,,,,,
1579,DBSTOCKBRO,DB (International) Stock Brokers Limited,8960,,,,,,
1580,SEPOWER,S.E. Power Limited,8955,,,,,,
1581,DHRUV,Dhruv Consultancy Services Limited,8892,,,,,,
1582,AUSOMENT,Ausom Enterprise Limited,8862,,,,,,
1583,STEELCITY,Steel City Securities Limited,8853,,,,,,
1584,SHIVAMILLS,Shiva Mills Limited,8828,,,,,,
1585,FOCUS,Focus Lighting and Fixtures Limited,8823,,,,,,
1586,AMDIND,AMD Industries Limited,8788,,,,,,
1587,MBECL,Mcnally Bharat Engineering Company Limited,8780,,,,,,
1588,CCCL,Consolidated Construction Consortium Limited,8767,,,,,,
1589,KRISHIVAL,Empyrean Cashews Limited,8730,,,,,,
1590,SVLL,Shree Vasu Logistics Limited,8714,,,,,,
1591,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,8690,,,,,,
1592,SEYAIND,Seya Industries Limited,8684,,,,,,
1593,TOKYOPLAST,Tokyo Plast International Limited,8580,,,,,,
1594,VMARCIND,V Marc India Limited,8579,,,,,,
1595,ROLTA,Rolta India Limited,8543,,,,,,
1596,SALSTEEL,S.A.L. Steel Limited,8454,,,,,,
1597,BANKA,Banka BioLoo Limited,8395,,,,,,
1598,AROGRANITE,Aro Granite Industries Limited,8346,,,,,,
1599,UJAAS,Ujaas Energy Limited,8312,,,,,,
1600,CENTEXT,Century Extrusions Limited,8280,,,,,,
1601,GANGAFORGE,Ganga Forging Limited,8159,,,,,,
1602,SANWARIA,Sanwaria Consumer Limited,8097,,,,,,
1603,ALKALI,Alkali Metals Limited,8075,,,,,,
1604,MCL,Madhav Copper Limited,8061,,,,,,
1605,TREJHARA,TREJHARA SOLUTIONS LIMITED,8047,,,,,,
1606,TARMAT,Tarmat Limited,7992,,,,,,
1607,MKPL,M K Proteins Limited,7987,,,,,,
1608,ANIKINDS,Anik Industries Limited,7951,,,,,,
1609,RSSOFTWARE,R. S. Software (India) Limited,7944,,,,,,
1610,MOKSH,Moksh Ornaments Limited,7888,,,,,,
1611,JETFREIGHT,Jet Freight Logistics Limited,7813,,,,,,
1612,SHREERAMA,Shree Rama Multi-Tech Limited,7747,,,,,,
1613,ARCHIDPLY,Archidply Industries Limited,7727,,,,,,
1614,SUMEETINDS,Sumeet Industries Limited,7721,,,,,,
1615,SIL,Standard Industries Limited,7719,,,,,,
1616,CINEVISTA,Cinevista Limited,7610,,,,,,
1617,KEYFINSERV,Keynote Financial Services Limited,7597,,,,,,
1618,MORARJEE,Morarjee Textiles Limited,7521,,,,,,
1619,NITIRAJ,Nitiraj Engineers Limited,7473,,,,,,
1620,SAMBHAAV,Sambhaav Media Limited,7453,,,,,,
1621,DELTAMAGNT,Delta Manufacturing Limited,7390,,,,,,
1622,BCONCEPTS,Brand Concepts Limited,7382,,,,,,
1623,TIRUPATI,Shree Tirupati Balajee FIBC Limited,7344,,,,,,
1624,AGRITECH,Agri-Tech (India) Limited,7315,,,,,,
1625,SONAMCLOCK,Sonam Clock Limited,7221,,,,,,
1626,PUNJLLOYD,Punj Lloyd Limited,7215,,,,,,
1627,HINDCON,Hindcon Chemicals Limited,7126,,,,,,
1628,AMBANIORG,Ambani Organics Limited,7076,,,,,,
1629,GLOBAL,Global Education Limited,7070,,,,,,
1630,VAISHALI,Vaishali Pharma Limited,6976,,,,,,
1631,PRECISION,Precision Metaliks Limited,6975,,,,,,
1632,GEEKAYWIRE,Geekay Wires Limited,6966,,,,,,
1633,MAHICKRA,Mahickra Chemicals Limited,6904,,,,,,
1634,URAVI,Uravi T and Wedge Lamps Limited,6875,,,,,,
1635,SICAL,Sical Logistics Limited,6847,,,,,,
1636,PNC,Pritish Nandy Communications Limited,6836,,,,,,
1637,UTTAMSTL,Uttam Galva Steels Limited,6828,,,,,,
1638,TARACHAND,Tara Chand Logistic Solutions Limited,6822,,,,,,
1639,PROLIFE,Prolife Industries Limited,6788,,,,,,
1640,CELEBRITY,Celebrity Fashions Limited,6769,,,,,,
1641,AJOONI,Ajooni Biotech Limited,6734,,,,,,
1642,HISARMETAL,Hisar Metal Industries Limited,6612,,,,,,
1643,DGCONTENT,Digicontent Limited,6575,,,,,,
1644,PRITI,Priti International Limited,6558,,,,,,
1645,NIBL,NRB Industrial Bearings Limited,6542,,,,,,
1646,KRITIKA,Kritika Wires Limited,6515,,,,,,
1647,SUPREMEENG,Supreme Engineering Limited,6499,,,,,,
1648,SAGARDEEP,Sagardeep Alloys Limited,6490,,,,,,
1649,ORIENTLTD,Orient Press Limited,6490,,,,,,
1650,CORDSCABLE,Cords Cable Industries Limited,6490,,,,,,
1651,JAKHARIA,JAKHARIA FABRIC LIMITED,6482,,,,,,
1652,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,6433,,,,,,
1653,BMETRICS,Bombay Metrics Supply Chain Limited,6411,,,,,,
1654,EXCEL,Excel Realty N Infra Limited,6348,,,,,,
1655,GLOBALVECT,Global Vectra Helicorp Limited,6342,,,,,,
1656,KALYANIFRG,Kalyani Forge Limited,6328,,,,,,
1657,SUPERSPIN,Super Spinning Mills Limited,6325,,,,,,
1658,LEXUS,Lexus Granito (India) Limited,6314,,,,,,
1659,VINNY,Vinny Overseas Limited,6252,,,,,,
1660,AVROIND,AVRO INDIA LIMITED,6204,,,,,,
1661,BANARBEADS,Banaras Beads Limited,6105,,,,,,
1662,SIKKO,Sikko Industries Limited,6104,,,,,,
1663,OMKARCHEM,Omkar Speciality Chemicals Limited,6081,,,,,,
1664,PANACHE,Panache Digilife Limited,6048,,,,,,
1665,INDSWFTLTD,Ind-Swift Limited,6039,,,,,,
1666,ARCHIES,Archies Limited,5996,,,,,,
1667,VASWANI,Vaswani Industries Limited,5985,,,,,,
1668,MALUPAPER,Malu Paper Mills Limited,5920,,,,,,
1669,BEARDSELL,Beardsell Limited,5920,,,,,,
1670,AAATECH,Aaa Technologies Limited,5900,,,,,,
1671,SECURCRED,SecUR Credentials Limited,5829,,,,,,
1672,BDR,BDR Buildcon Limited,5824,,,,,,
1673,HPIL,Hindprakash Industries Limited,5775,,,,,,
1674,MTEDUCARE,MT Educare Limited,5670,,,,,,
1675,JAIPURKURT,Nandani Creation Limited,5634,,,,,,
1676,AURDIS,Aurangabad Distillery Limited,5609,,,,,,
1677,MERCATOR,Mercator Limited,5595,,,,,,
1678,AARVEEDEN,Aarvee Denims & Exports Limited,5595,,,,,,
1679,TERASOFT,Tera Software Limited,5580,,,,,,
1680,FLEXITUFF,Flexituff Ventures International Limited,5549,,,,,,
1681,GAL,Gyscoal Alloys Limited,5540,,,,,,
1682,HOVS,HOV Services Limited,5529,,,,,,
1683,CALSOFT,California Software Company Limited,5503,,,,,,
1684,DHARSUGAR,Dharani Sugars & Chemicals Limited,5478,,,,,,
1685,BURNPUR,Burnpur Cement Limited,5469,,,,,,
1686,PARTYCRUS,Party Cruisers Limited,5432,,,,,,
1687,ARSSINFRA,ARSS Infrastructure Projects Limited,5412,,,,,,
1688,VARDMNPOLY,Vardhman Polytex Limited,5372,,,,,,
1689,ICDSLTD,ICDS Limited,5347,,,,,,
1690,ATALREAL,Atal Realtech Limited,5307,,,,,,
1691,EASTSILK,Eastern Silk Industries Limited,5290,,,,,,
1692,SHRADHA,Shradha Infraprojects Limited,5285,,,,,,
1693,ZENITHEXPO,Zenith Exports Limited,5256,,,,,,
1694,BALKRISHNA,Balkrishna Paper Mills Limited,5198,,,,,,
1695,MDL,Marvel Decor Limited,5197,,,,,,
1696,NPST,Network People Services Technologies Limited,5170,,,,,,
1697,WEWIN,WE WIN LIMITED,5116,,,,,,
1698,KKVAPOW,KKV Agro Powers Limited,5116,,,,,,
1699,BVCL,Barak Valley Cements Limited,5086,,,,,,
1700,MHHL,Mohini Health & Hygiene Limited,5042,,,,,,
1701,DCI,DC Infotech and Communication Limited,5040,,,,,,
1702,ROLLT,Rollatainers Limited,5003,,,,,,
1703,TIMESGTY,Times Guaranty Limited,4964,,,,,,
1704,MARSHALL,Marshall Machines Limited,4954,,,,,,
1705,CMICABLES,CMI Limited,4896,,,,,,
1706,WIPL,The Western India Plywoods Limited,4889,,,,,,
1707,CYBERMEDIA,Cyber Media (India) Limited,4880,,,,,,
1708,COOLCAPS,Cool Caps Industries Limited,4838,,,,,,
1709,AISL,ANI Integrated Services Limited,4834,,,,,,
1710,VIVIDHA,Visagar Polytex Limited,4830,,,,,,
1711,KHFM,Khfm Hospitality And Facility Management Services Limited,4731,,,,,,
1712,AGROPHOS,Agro Phos India Limited,4683,,,,,,
1713,MRO,M.R. Organisation Limited,4651,,,,,,
1714,MADHAV,Madhav Marbles and Granites Limited,4643,,,,,,
1715,FMNL,Future Market Networks Limited,4632,,,,,,
1716,NAGREEKEXP,Nagreeka Exports Limited,4625,,,,,,
1717,NIDAN,Nidan Laboratories and Healthcare Limited,4615,,,,,,
1718,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,4543,,,,,,
1719,ABCOTS,A B Cotspin India Limited,4523,,,,,,
1720,LCCINFOTEC,LCC Infotech Limited,4494,,,,,,
1721,KRIDHANINF,Kridhan Infra Limited,4407,,,,,,
1722,VINEETLAB,Vineet Laboratories Limited,4393,,,,,,
1723,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,4376,,,,,,
1724,COUNCODOS,Country Condo's Limited,4345,,,,,,
1725,BANG,Bang Overseas Limited,4339,,,,,,
1726,EDUCOMP,Educomp Solutions Limited,4286,,,,,,
1727,LIBAS,Libas Consumer Products Limited,4260,,,,,,
1728,RELIABLE,Reliable Data Services Limited,4231,,,,,,
1729,MADHUCON,Madhucon Projects Limited,4206,,,,,,
1730,MAGNUM,Magnum Ventures Limited,4155,,,,,,
1731,ANSALHSG,Ansal Housing Limited,4127,,,,,,
1732,OILCOUNTUB,Oil Country Tubular Limited,4119,,,,,,
1733,UCL,Ushanti Colour Chem Limited,4089,,,,,,
1734,HILTON,Hilton Metal Forging Limited,4007,,,,,,
1735,JETKNIT,Jet Knitwears Limited,4006,,,,,,
1736,MANUGRAPH,Manugraph India Limited,4000,,,,,,
1737,AKG,Akg Exim Limited,3972,,,,,,
1738,ASLIND,ASL Industries Limited,3958,,,,,,
1739,SOMICONVEY,Somi Conveyor Beltings Limited,3911,,,,,,
1740,SHAIVAL,Shaival Reality Limited,3825,,,,,,
1741,SURANI,Surani Steel Tubes Limited,3811,,,,,,
1742,DIGJAMLMTD,Digjam Limited,3800,,,,,,
1743,SWARAJ,Swaraj Suiting Limited,3758,,,,,,
1744,KARMAENG,Karma Energy Limited,3731,,,,,,
1745,SANGINITA,Sanginita Chemicals Limited,3609,,,,,,
1746,HECPROJECT,HEC Infra Projects Limited,3533,,,,,,
1747,PIGL,Power & Instrumentation (Gujarat) Limited,3492,,,,,,
1748,HBSL,HB Stockholdings Limited,3480,,,,,,
1749,SUMIT,Sumit Woods Limited,3441,,,,,,
1750,GIRIRAJ,Giriraj Civil Developers Limited,3439,,,,,,
1751,MILTON,Milton Industries Limited,3399,,,,,,
1752,CROWN,Crown Lifters Limited,3399,,,,,,
1753,TREEHOUSE,Tree House Education & Accessories Limited,3385,,,,,,
